,h3id_9,no_med,OSM-SimpleLinearRegression-y_estimated,OSM-SimpleLinearRegression-diff,Waze-SimpleLinearRegression-y_estimated,Waze-SimpleLinearRegression-diff,Waze-SimpleGamma-y_estimated,Waze-SimpleGamma-diff,Waze-SimpleLinearRegression-transformed-y_estimated,Waze-SimpleLinearRegression-transformed-diff
95,8928308110bffff,14.802925305,12.21192538588156,2.59099991911844,5.422245447306015,9.380679857693986,6.083225597341284,8.719699707658716,2.3886936778514793,1.458763314110874
96,89283081143ffff,8.3783439665,10.432941248082534,-2.0545972815825344,6.516327066285736,1.8620169002142628,11.637753499120812,-3.259409532620813,2.5337184790167466,0.36081843843654404
97,8928308117bffff,7.30434789,13.542743526687508,-6.238395636687508,8.318790668212017,-1.0144427782120173,10.072073501485589,-2.767725611485589,2.9532905810338015,-0.25063487044097776
98,89283081357ffff,8.129032329,9.644219547605267,-1.5151872186052682,6.310863698693666,1.8181686303063334,6.252592900739945,1.8764394282600545,2.584086001824367,0.2670597904844021
99,89283099c83ffff,38.05758794000001,13.694340257585646,24.363247682414368,16.652762662016528,21.404825277983484,15.7636103082153,22.293977631784713,4.073294003126247,2.0957892302237466
100,892830981c3ffff,13.166666485,12.595191822952877,0.5714746620471232,26.085356605165806,-12.918690120165806,20.25467260364806,-7.08800611864806,4.935811558094176,-1.3072214069473151
101,89283081183ffff,8.9799998455,10.106970852650305,-1.1269710071503045,4.773475605696003,4.206524239803997,4.733005697413199,4.246994148086801,2.1298894699140356,0.866775317061645
102,8928308100bffff,11.260766835,3.8911765688166575,7.369590266183343,9.246363974593152,2.0144028604068485,7.71386902708512,3.5468978079148803,3.036558049711185,0.3191485576965607
103,8928308104fffff,9.141552699999998,10.216510678782672,-1.074957978782674,8.273662378733487,0.8678903212665112,8.999579690533176,0.14197300946682212,2.911599878298673,0.11190019611839208
104,8928309837bffff,3.923076975,5.41783811418944,-1.49476113918944,8.55367621914301,-4.630599244143011,7.057260554569828,-3.134183579569828,2.721572210534015,-0.7408963221060272
105,89283099d17ffff,10.10714272,6.920198450590444,3.1869442694095564,6.604664742663481,3.50247797733652,6.517526826851483,3.589615893148517,2.490931894110988,0.6882413820726176
106,8928308103bffff,6.436490739500001,12.703261146579468,-6.266770407079467,5.468935551012876,0.9675551884871245,6.551999265184283,-0.11550852568428205,2.164644162863055,0.37237982982995854
107,8928308138bffff,3.4666668310000004,14.457551947080901,-10.9908851160809,4.59191927397012,-1.1252524429701198,4.814922910192771,-1.3482560791927707,2.0427440598501687,-0.18084534321706447
108,89283099c93ffff,26.03947386,12.190054342978272,13.84941951702173,5.420761400013472,20.61871245998653,6.785899513163352,19.25357434683665,2.109410265317854,2.993478510659926
109,8928308114fffff,7.285714349,14.052511540560735,-6.766797191560735,8.873583626785688,-1.5878692777856882,7.222297507888188,0.06341684111181234,2.8255229693185835,-0.1263167250682482
110,8928309833bffff,4.235880435,10.80475657557474,-6.568876140574739,8.234751396030877,-3.9988709610308764,7.152869842529672,-2.9169894075296714,2.67845636028783,-0.6203308939957477
111,89283098397ffff,4.00000019,11.154635445301222,-7.154635255301223,5.543302585927446,-1.5433023959274461,6.758765647706903,-2.758765457706903,2.487960955296375,-0.4879609077963756
112,892830983bbffff,3.0492063805000003,12.65506659854335,-9.60586021804335,5.735276522821977,-2.6860701423219764,4.735900617040119,-1.6866942365401192,2.0669820814083937,-0.3207843891352651
113,89283099d93ffff,2.857142993,4.013912723080026,-1.1567697300800255,7.181636033659526,-4.324493040659526,4.84906988456272,-1.99192689156272,2.2825789125745772,-0.5922703629304598
114,89283081033ffff,4.151078557,8.351124300420118,-4.200045743420118,5.026787172915611,-0.8757086159156113,6.312969718353983,-2.1618911613539833,2.370282270585304,-0.33286268763239635
115,89283098e1bffff,6.35820901,8.421844608365511,-2.0636355983655106,14.742994175337902,-8.384785165337902,6.4467633668109725,-0.08855435681097212,3.0562702030865134,-0.5347212723695223
116,89283081383ffff,6.021550556,9.833921446677167,-3.8123708906771663,6.279028872726702,-0.25747831672670163,6.428135828673774,-0.406585272673774,2.5106806208471357,-0.056795832190585926
117,892830981bbffff,10.06451622,11.470248096103159,-1.4057318761031592,19.19557268118617,-9.131056461186171,7.941650907523689,2.1228653124763106,3.4283311204830182,-0.2558689504958016
118,89283081087ffff,15.703703685,11.722018053850176,3.9816856311498245,24.054162730281462,-8.350459045281461,18.02399574009788,-2.3202920550978803,4.814211179302019,-0.8514212927448219
119,8928308114bffff,5.842307590500001,9.927368245920515,-4.085060655420515,8.897603507982414,-3.055295917482413,10.248831133913642,-4.406523543413641,2.9093592851245567,-0.49227269368849447
120,892830811cbffff,3.981481392,7.834048897636656,-3.8525675056366557,8.56137884821118,-4.579897456211181,12.395837743638921,-8.414356351638922,2.815355423866069,-0.8199904467252956
121,89283081317ffff,12.713779755,8.465309657591085,4.248470097408914,16.1976869364087,-3.4839071814087017,9.670549178191337,3.0432305768086625,3.6598399809368503,-0.09420122259354358
122,89283099db3ffff,11.35456149,9.957649445090533,1.3969120449094667,1.3630159541992661,9.991545535800734,4.460178734930941,6.894382755069059,1.8128775209481316,1.5567755012486644
123,89283081387ffff,3.584415755,13.310117142774338,-9.725701387774338,5.500130857702988,-1.915715102702988,6.170776224622347,-2.5863604696223472,2.409906394654724,-0.5166510619011093
